code,titles,optionA,optionB,optionCD,optionE,eligible
"3115 Quality
assurance
technicians",• Quality analyst • Quality assurance coordinator • Quality control technician • Quality officer • Quality technician • Test technician,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
"3116 Planning, process and production technicians",• Process technician • Production controller • Production planner • Production technician,"£33,700 (£17.28 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
"3119 Science, engineering and production technicians not elsewhere classified",• School technician • Technical assistant • Technician • Textile consultant • Workshop technician,"£32,100 (£16.46 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
"3120 CAD, drawing and architectural technicians","• 3D Printing Technician
• Architect’s assistant
• Architectural design assistant
• Architectural technician
• CAD designer
• Cartographer
• Design technician
• Draughtsman","£31,200 (£16.00 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
3131 IT operations technicians,• Computer games tester • Digital administrator • IT technician • Network administrator • Systems administrator,"£31,100 (£15.95 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
3132 IT user support technicians,• Business support analyst (computing) • Customer support analyst • Help desk operator (computing) • IT support technician • Systems support officer,"£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
3133 Database administrators and web content technicians,• Database administrator • Digital content editor • Intranet coordinator • Website moderator,"£31,500 (£16.15 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",Yes
3211 Dispensing opticians,• Dispensing optician • Optical dispenser,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3212 Pharmaceutical technicians,• Dispensing technician • Pharmaceutical technician • Pharmacy technician,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3221 Youth and community workers,• Community development officer • Family support worker • Youth and community worker • Youth project coordinator • Youth worker,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3222 Child and early years officers,• Child protection officer • Education welfare officer • Family liaison officer • Learning mentor (early years) • Parent support adviser • Portage worker (educational establishments),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3223 Housing officers,"• Accommodation officer
• Housing adviser
• Housing officer
• Housing support officer","31,400 ((£16.10 per
hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3224 Counsellors,• Counsellor (welfare services) • Debt adviser • Drugs and alcohol worker • Life coach • Stop smoking counsellor,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3229 Welfare and housing associate professionals not elsewhere classified,• Advocacy worker • Health coordinator • Homeless prevention officer • Key worker (welfare services) • Outreach worker (welfare services) • Probation services officer • Project worker (welfare services) • Student support officer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3232 Early education and childcare practitioners,• Childcare practitioner • Early years practitioner • Pre-school practitioner,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3240 Veterinary nurses,• Animal nurse • Veterinary nurse,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3312 Police officers (sergeant and below),• Detective (police service) • Police constable • Police officer • Sergeant • Transport police officer,"£44,800 (£22.97 per hour)","£40,320 (£20.68 per hour)","£35,840 (£18.38 per hour)","£31,360 (£16.08 per hour)",No
3313 Fire service officers (watch manager and below),• Fire engineer • Fire safety officer • Firefighter • Watch manager (fire service),"£39,500 (£20.26 per hour)","£35,550 (£18.23 per hour)","£31,600 (£16.21 per hour)","£30,960 (£15.88 per hour)",No
3314 Prison service officers (below principal officer),"• Custodial manager
• Prison custodial officer
• Prison escort officer
• Prison officer
• Prison warden","£30,960 (£15.88 oer hour)","£30,960 (£15.88 oer hour)","£30,960 (£15.88 oer hour)","£30,960 (£15.88 oer hour)",No
3319 Protective service associate professionals not elsewhere classified,• Crime scene investigator • Customs officer • Immigration officer • Investigation officer (police service) • Fingerprint expert • Fraud analyst • Operations manager (security services) • Private investigator • Security manager,"£39,200 (£20.10 per hour)","£35,280 (£18.09 per hour)","£31,360 (£16.08 per hour)","£30,960 (£15.88 per hour)",No
3411 Artists,• Animator (hand drawn) • Artist • Illustrator • Portrait painter • Sculptor,"£32,900 (£16.87 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"3412 Authors, writers and translators",• Copywriter • Editor (books) • Interpreter • Technical author • Translator • Writer,"£33,800 (£17.33 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"3413 Actors, entertainers and presenters",• Actor • Commentator (broadcasting) • Costumed interpreter • Disc jockey • Entertainer • Presenter (broadcasting) • Singer,"£32,900 (£16.87 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3414 Dancers and choreographers,• Ballet dancer • Choreographer • Dance coach • Dancer • Dance teacher,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3415 Musicians,"• Composer
• Musician
• Organist
• Pianist
• Song writer
• Violinist","£32,900 (£16.87
per
hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88
per
hour)","£30,960 (£15.88
per
hour)",No
"3416 Arts officers, producers and directors",• Broadcast editor • Film editor • Production assistant (broadcasting) • Studio manager • Television producer • Video production assistant,"£37,500 (£19.23 per hour)","£33,750 (£17.31 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"3417 Photographers, audio-visual and broadcasting equipment operators",• Audio visual technician • Cameraman • Commercial drone pilot • Digital imaging technician • Lighting designer • Photographer • Projectionist • Sound engineer • Theatre technician (entertainment),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3421 Interior designers,• Design consultant (interior design) • Interior decorator • Interior stylist • Kitchen designer,"£33,300 (£17.08 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"3422 Clothing, fashion and accessories designers",• Bridalwear designer • Fashion designer • Footwear designer • Jewellery designer,"£40,500 (£20.77 per hour)","£36,450 (£18.69 per hour)","£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)",No
3429 Design occupations not elsewhere classified,"• Design consultant
• Craft designer
• Make-up artist (films)
• Production designer (film, television production)
• Visual merchandiser (design)","£32,000 (£16.41 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3433 Fitness and wellbeing instructors,• Aerobics instructor • Fitness instructor • Gym instructor • Lifestyle consultant • Personal trainer • Pilates instructor • Yoga teacher,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3511 Aircraft pilots and air traffic controllers,• Airline pilot • Air traffic controller • First officer (airlines) • Flight engineer • Flight planner • Flying instructor • Helicopter pilot,"£71,700 (£36.77 per hour)","£64,530 (£33.09 per hour)","£57,360 (£29.42 per hour)","£50,190 (£25.74 per hour)",No
3512 Ship and hovercraft officers,• Chief engineer (shipping) • Marine engineer (shipping) • Merchant navy officer • Petty officer • Tug master • Yacht skipper,"£66,300 (£34.00 per hour)","£59,670 (£30.60 per hour)","£53,040 (£27.20 per hour)","£46,410 (£23.80 per hour)",No
3520 Legal associate professionals,• Barrister’s clerk • Compliance officer (legal services) • Law costs draftsman • Legal assistant • Litigator • Paralegal assistant,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3531 Brokers,• Foreign exchange dealer • Insurance broker • Investment administrator • Stockbroker • Trader (stock exchange),"£41,700 (£21.38 per hour)","£37,530 (£19.25 per hour)","£33,360 (£17.11 per hour)","£30,960 (£15.88 per hour)",No
3532 Insurance underwriters,"• Account handler (insurance)
• Commercial underwriter
• Insurance inspector
• Mortgage underwriter
• Underwriter","£35,200 (£18.05 per hour)","£31,680 (£16.25 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3533 Financial and accounting technicians,• Accounting technician • Business associate (banking) • Financial controller • Fund administrator • Insolvency administrator • Managing clerk (accountancy),"£47,700 (£24.46 per hour)","£42,930 (£22.02 per hour)","£38,160 (£19.57 per hour)","£33,390 (£17.12 per hour)",No
3534 Financial accounts managers,• Accounts manager • Audit manager • Credit manager • Fund manager • Mortgage unit manager • Relationship manager (bank),"£41,600 (£21.33 per hour)","£37,440 (£19.20 per hour)","£33,280 (£17.07 per hour)","£30,960 (£15.88 per hour)",No
"3541 Estimators, valuers and assessors",• Claims assessor • Claims investigator • Engineering surveyor • Estimator • Loss adjuster • PPI case handler • Valuer,"£34,900 (£17.90 per hour)","£31,410 (£16.11 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3542 Importers and exporters,• Export coordinator • Exporter • Import agent • Importer • Shipping agent,"£31,300 (£16.05 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3543 Project support officers,• Planning assistant • Project administrator • Project analyst • Project coordinator • Project officer • Service delivery coordinator,"£32,000 (£16.41 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3544 Data analysts,• Data analyst • Data officer • Data quality analyst • Information management analyst • Organisation and methods analyst,"£33,200 (£17.03 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"3549 Business associate
professionals not
elsewhere
classified","• Business support officer
• Marine consultant
• Methods engineer
• O&M consultant
• Party agent (political party)","£30,960 (£15.88
per
hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3551 Buyers and procurement officers,• Bid writer • Buyer • Procurement officer • Purchasing consultant • Supply planner,"£33,000 (£16.92 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3552 Business sales executives,• Corporate account executive • Sales agent • Sales consultant • Sales executive • Technical representative,"£34,500 (£17.69 per hour)","£31,050 (£15.92 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3553 Merchandisers,• Demand planner • Merchandiser • Sales merchandiser • Supply chain analyst,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3554 Advertising and marketing associate professionals,• Brand ambassador • Business development executive • Fundraiser • Marketing consultant • Marketing executive,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3555 Estate agents and auctioneers,• Auctioneer • Auctioneer and valuer • Estate agent • Letting agent • Property consultant • Sales negotiator,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3556 Sales accounts and business development managers,• Account manager (sales) • Area sales manager • Business development manager • Product development manager • Sales manager,"£52,500 (£26.92 per hour)","£47,250 (£24.23 per hour)","£42,000 (£21.54 per hour)","£36,750 (£18.85 per hour)",No
3557 Events managers and organisers,"• Conference coordinator
• Event organiser
• Events manager
• Exhibition organiser
• Hospitality manager
• Production manager (corporate hospitality)","£30,960
(£15.88
per hour)","£30,960 (£15.88 per hour)","£30,960
(£15.88
per hour)","£30,960
(£15.88
per hour)",No
3560 Public services associate professionals,"• Civil servant (HEO, SEO) • Higher executive officer (government) • Principle revenue officer (local government) • Senior executive officer (government) • Team leader (local government)","£38,000 (£19.49 per hour)","£34,200 (£17.54 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3571 Human resources and industrial relations officers,• Employment consultant • Human resources advisor • Human resources analyst • Recruitment consultant • Talent attraction consultant,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3572 Careers advisers and vocational guidance specialists,• Careers adviser • Careers consultant • Careers teacher • Personal advisor • Placement officer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3573 Information technology trainers,• E-learning manager • IT trainer • IT tutor • Software trainer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3574 Other vocational and industrial trainers,• NVQ assessor • Technical instructor • Training consultant • Training manager,"£32,000 (£16.41 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
3581 Inspectors of standards and regulations,• Building inspector • Driving examiner • Housing inspector • Meat hygiene inspector • Trading standards officer,"£35,300 (£18.10 per hour)","£31,770 (£16.29 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"3582 Health and
safety managers and officers","• Asbestos surveyor
• Health and safety officer
• Occupational hygienist
• Safety consultant
• Safety officer","£40,900
(£20.97 per
hour)","£36,810
(£18.88 per hour)","£32,720
(£16.78 per
hour)","£30,960
(£15.88 per
hour)",No
4111 National government administrative occupations,"• Administrative assistant (courts of justice) • Administrative officer (government) • Civil servant (grades AA, AO & EO) • Clerk (government) • Revenue officer (government)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4112 Local government administrative occupations,• Administrative assistant (local government) • Administrative officer (police service) • Benefits assistant (local government) • Clerical officer (local government) • Local government officer • Parish clerk,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4113 Officers of non-governmental organisations,• Administrator (charitable organisation) • Clerk to school governors • Organiser (trade union) • Secretary (research association) • Trade union official,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4121 Credit controllers,• Credit control clerk • Credit controller • Debt management associate • Loans administrator,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"4122 Book- keepers, payroll managers and wages clerks","• Accounts administrator
• Accounts assistant
• Accounts clerk
• Auditor
• Bookkeeper
• Payroll manager","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4124 Finance officers,• Finance officer • Financial officer (local government) • Regional finance officer (PO),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4129 Financial administrative occupations not elsewhere classified,• Cashier • Finance administrator • Finance assistant • Legal cashier • Tax assistant • Treasurer • Valuation assistant,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4132 Pensions and insurance clerks and assistants,• Administrator (insurance) • Claims handler • Clerical assistant (insurance) • Insurance clerk • Pensions administrator,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4134 Transport and distribution clerks and assistants,• Cargo agent • Export clerk • Freight administrator • Logistics coordinator • Shipping clerk • Transport clerk,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4141 Office managers,• Business support manager • Office manager • Practice manager • Sales administration manager • Sales office manager,"£35,000 (£17.95 per hour)","£31,500 (£16.15 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4143 Customer service managers,• After sales manager • Call centre manager • Customer care manager • Customer service manager,"£33,400 (£17.13 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4151 Sales administrators,• Online sales assistant • Marketing administrator • Sales administrator • Sales coordinator,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"4159 Other
administrative occupations not
elsewhere
classified","• Administrator
• Administrative assistant
• Clerical assistant
• Clerk
• Facilities coordinator
• Office assistant
• Proof reader","£30,960
(£15.88 per
hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4214 Company secretaries and administrators,• Assistant secretary • Club secretary • Company administrator • Company secretary,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
4215 Personal assistants and other secretaries,• Executive assistant • PA-secretary • Personal assistant • Personal secretary • Secretary,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5111 Farmers,• Agricultural contractor • Agricultural technician (farming) • Crofter (farming) • Farmer • Herd manager,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5112 Horticultural trades,• Grower • Horticulturalist • Market Gardener • Nursery Assistant (agriculture) • Nurseryman,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5113 Gardeners and landscape gardeners,• Garden designer • Gardener • Gardener-handyman • Landscape gardener,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5114 Groundsmen and greenkeepers,• Greenkeeper • Groundsman • Groundsperson,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5119 Agricultural and fishing trades not elsewhere classified,"• Arboricultural consultant
• Bee farmer
• Countryside ranger
• Gamekeeper
• National park warden
• Share fisherman
• Trawler skipper
• Tree surgeon","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5211 Sheet metal workers,• Coppersmith • Metal fabricator • Panel beater (metal trades) • Sheet metal fabricator • Sheet metal worker,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"5212 Metal plate workers, smiths, moulders and related occupations",• Boiler maker • Core Maker (metal trades) • Die Caster • Chain repairer • Farrier • Moulder and coremaker • Pewtersmith • Pipe Maker (foundry) • Steel presser,"£31,200 (£16.00 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5213 Welding trades,• Fabricator-welder • Fitter-welder • Spot welder • Welder • Welding technician,"£31,700 (£16.26 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5214 Pipe fitters,• Pipe engineer • Pipe fitter • Pipe welder-fitter,"£31,200 (£16.00 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5221 Metal machining setters and setter- operators,"• CNC machinist
• CNC programmer
• Centre lathe turner
• Miller (metal trades)
• Tool setter
• Turner
• Tool engineer
• Tool fitter
• Tool maker","£32,600 (£16.72 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5223 Metal working production and maintenance fitters,• Agricultural engineer • Bench fitter • Engineering machinist • Fabricator • Installation engineer • Maintenance fitter • Mechanical engineer,"£36,400 (£18.67 per hour)","£32,760 (£16.80 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5224 Precision instrument makers and repairers,• Calibration engineer • Horologist • Instrument maker • Instrument mechanic • Instrument technician • Optical technician • Precision engineer • Watchmaker,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5225 Air- conditioning and refrigeration installers and repairers,• Air conditioning engineer • Air conditioning fitter • Refrigeration engineer • Refrigeration technician • Service engineer (refrigeration),"£39,800 (£20.41 per hour)","£35,820 (£18.37 per hour)","£31,840 (£16.33 per hour)","£30,960 (£15.88 per hour)",No
"5231 Vehicle technicians, mechanics and electricians",• Auto electrician • Car mechanic • HGV mechanic • Mechanic (garage) • MOT tester • Motor mechanic • Motor vehicle technician • Technician (vehicles) • Vehicle technician,"£32,000 (£16.41 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5232 Vehicle body builders and repairers,"• Bodyshop technician • Car body repairer
• Coach builder
• Panel beater
• Restoration technician (vehicles)
• Vehicle builder","£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5233 Vehicle paint technicians,• Car paint sprayer • Coach painter • Graphic applicator (vehicles) • Paint technician (vehicles) • Sprayer (vehicle trades) • Vehicle refinisher • Vehicle wrapper,"£31,100 (£15.95 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5234 Aircraft maintenance and related trades,• Aeronautical engineer • Aircraft electrician • Aircraft engineer • Aircraft fitter • Aircraft mechanic • Maintenance engineer (aircraft),"£44,500 (£22.82 per hour)","£40,050 (£20.54 per hour)","£35,600 (£18.26 per hour)","£31,150 (£15.97 per hour)",No
5235 Boat and ship builders and repairers,• Boat builder • Fitter (boat building) • Frame turner (ship building) • Laminator (boat building and repairing) • Marine engineer • Ship’s joiner • Shipwright,"£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5236 Rail and rolling stock builders and repairers,"• Coach repairer (railways) • Mechanical fitter (railway and rolling stock) • Railway engineer • Rolling stock technician • Service engineer (railway, rolling stock maintenance)","£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5241 Electricians and electrical fitters,• Electrical contractor • Electrical engineer • Electrical fitter • Electrician,"£35,500 (£18.21 per hour)","£31,950 (£16.38 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5242 Telecoms and related network installers and repairers,"• Cable jointer
• Customer service engineer (telecoms)
• Installation engineer (telecoms)
• Network officer (telecoms)
• Telecom engineer
• Telephone engineer","£35,000 (£17.95 per hour)","£31,500 (£16.15 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"5243 Tv, video and audio servicers and repairers","• Installation engineer (radio, television and video) • Satellite engineer • Service engineer (radio, television and video) • Technician (radio, television and video servicing) • Television engineer","£35,800 (£18.36 per hour)","£32,220 (£16.52 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5244 Computer system and equipment installers and servicers,• Computer repairer • Computer service engineer • Hardware engineer (computer) • IT engineer • Maintenance engineer (computer servicing),"£31,000 (£15.90 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5245 Security system installers and repairers,• Alarm engineer • CCTV engineer • Installation engineer (alarms) • Service engineer (alarms) • Security engineer,"£35,800 (£18.36 per hour)","£32,220 (£16.52 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5246 Electrical service and maintenance mechanics and repairers,• Domestic appliance engineer • Maintenance man (electricity supplier) • Machine repairer (office machinery) • Repairer (electrical machinery) • Service engineer (domestic electrical appliances),"£36,100 (£18.51 per hour)","£32,490 (£16.66 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5249 Electrical and electronic trades not elsewhere classified,• Communication engineer • Electronics engineer • Field engineer • Linesman,"£40,400 (£20.72 per hour)","£36,360 (£18.65 per hour)","£32,320 (£16.57 per hour)","£30,960 (£15.88 per hour)",No
"5250 Skilled metal, electrical and electronic
trades supervisors","• Electrical supervisor
• Maintenance supervisor(manufacturing)
• Service manager (garage)
• Workshop manager","£38,400 (£19.69 per
hour)","£34,560 (£17.72 per hour)","£30,960 (£15.88 per
hour)","£30,960 (£15.88 per
hour)",No
5311 Steel erectors,• Steel erector • Steel fabricator • Steel worker (structural engineering),"£34,800 (£17.85 per hour)","£31,320 (£16.06 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5312 Stonemasons and related trades,• Dry stone waller • Monumental mason • Stone mason,"£31,000 (£15.90 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5313 Bricklayers,• Bricklayer • Block setter • Chimney builder • Floor stone Layer • Kiln repairer,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"5314 Roofers, roof tilers and slaters",• Mastic asphalt spreader • Roof tiler • Roofer • Roofing contractor • Slater • Thatcher,"£31,000 (£15.90 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5315 Plumbers and heating and ventilating installers and repairers,• Gas engineer • Heating and ventilating engineer • Heat pump installer • Meter installer (water) • Plumber • Plumbing and heating engineer • Stove repairer (gas stoves) • Ventilation fitter,"£35,200 (£18.05 per hour)","£31,680 (£16.25 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5316 Carpenters and joiners,• Carpenter • Carpenter and joiner • Joiner • Kitchen fitter • Shop fitter,"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
"5317 Glaziers,
window fabricators and
fitters","• Glass Cutter
• Glazier
• Installer (double glazing)
• Service engineer (windows)
• Window fabricator
• Window fitter","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per hour)","£30,960
(£15.88 per
hour)","£30,960
(£15.88 per
hour)",No
5319 Construction and building trades not elsewhere classified,• Builder • Building contractor • Fencer • Fireplace fitter • Maintenance manager (buildings and other structures) • Property developer (building construction),"£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5321 Plasterers,• Dry liner • Fibrous plasterer • Plasterer • Plastering contractor,"£32,400 (£16.62 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5322 Floorers and wall tilers,• Carpet fitter • Ceramic tiler • Flooring contractor • Mosaic floor layer,"£32,600 (£16.72 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
5323 Painters and decorators,• Artexer • French polisher • Paper hanger • Ship sprayer • Wood stainer,"£38,100 (£19.54 per hour)","£34,290 (£17.58 per hour)","£30,960 (£15.88 per hour)","£30,960 (£15.88 per hour)",No
